timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsSunset,timingsMaghrib,timingsIsha,timingsImsak,timingsMidnight,datereadable,datetimestamp,dategregoriandate,dategregorianformat,dategregorianday,dategregorianweekdayen,dategregorianmonthnumber,dategregorianmonthen,dategregorianyear,dategregoriandesignationabbreviated,dategregoriandesignationexpanded,datehijridate,datehijriformat,datehijriday,datehijriweekdayen,datehijriweekdayar,datehijrimonthnumber,datehijrimonthen,datehijrimonthar,datehijriyear,datehijridesignationabbreviated,datehijridesignationexpanded,metalatitude,metalongitude,metatimezone,metamethodname,metamethodparamsFajr,metamethodparamsIsha,metamethodparamsMaghrib,metalatitudeAdjustmentMethod,metamidnightMode,metaschool,metaoffsetImsak,metaoffsetFajr,metaoffsetSunrise,metaoffsetDhuhr,metaoffsetAsr,metaoffsetMaghrib,metaoffsetSunset,metaoffsetIsha,metaoffsetMidnight,datehijriholidays
04:07 (BST),05:36 (BST),13:07 (BST),18:09 (BST),20:29 (BST),20:31 (BST),21:41 (BST),03:57 (BST),01:03 (BST),01-May-21,1619856061,01/05/2021,DD-MM-YYYY,1,Saturday,5,May,2021,AD,Anno Domini,19-09-1442,DD-MM-YYYY,19,Al Sabt,السبت,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:05 (BST),05:34 (BST),13:07 (BST),18:10 (BST),20:31 (BST),20:32 (BST),21:43 (BST),03:55 (BST),01:02 (BST),02-May-21,1619942461,02/05/2021,DD-MM-YYYY,2,Sunday,5,May,2021,AD,Anno Domini,20-09-1442,DD-MM-YYYY,20,Al Ahad,الاحد,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
04:02 (BST),05:32 (BST),13:07 (BST),18:11 (BST),20:33 (BST),20:34 (BST),21:45 (BST),03:52 (BST),01:02 (BST),03-May-21,1620028861,03/05/2021,DD-MM-YYYY,3,Monday,5,May,2021,AD,Anno Domini,21-09-1442,DD-MM-YYYY,21,Al Athnayn,الاثنين,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,Lailat-ul-Qadr
04:00 (BST),05:30 (BST),13:07 (BST),18:12 (BST),20:34 (BST),20:35 (BST),21:47 (BST),03:50 (BST),01:02 (BST),04-May-21,1620115261,04/05/2021,DD-MM-YYYY,4,Tuesday,5,May,2021,AD,Anno Domini,22-09-1442,DD-MM-YYYY,22,Al Thalaata,الثلاثاء,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:57 (BST),05:28 (BST),13:07 (BST),18:13 (BST),20:36 (BST),20:37 (BST),21:49 (BST),03:47 (BST),01:02 (BST),05-May-21,1620201661,05/05/2021,DD-MM-YYYY,5,Wednesday,5,May,2021,AD,Anno Domini,23-09-1442,DD-MM-YYYY,23,Al Arba'a,الاربعاء,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,Lailat-ul-Qadr
03:55 (BST),05:27 (BST),13:07 (BST),18:14 (BST),20:38 (BST),20:39 (BST),21:51 (BST),03:45 (BST),01:02 (BST),06-May-21,1620288061,06/05/2021,DD-MM-YYYY,6,Thursday,5,May,2021,AD,Anno Domini,24-09-1442,DD-MM-YYYY,24,Al Khamees,الخميس,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:52 (BST),05:25 (BST),13:07 (BST),18:15 (BST),20:39 (BST),20:40 (BST),21:53 (BST),03:42 (BST),01:02 (BST),07-May-21,1620374461,07/05/2021,DD-MM-YYYY,7,Friday,5,May,2021,AD,Anno Domini,25-09-1442,DD-MM-YYYY,25,Al Juma'a,الجمعة,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,Lailat-ul-Qadr
03:50 (BST),05:23 (BST),13:07 (BST),18:16 (BST),20:41 (BST),20:42 (BST),21:56 (BST),03:40 (BST),01:02 (BST),08-May-21,1620460861,08/05/2021,DD-MM-YYYY,8,Saturday,5,May,2021,AD,Anno Domini,26-09-1442,DD-MM-YYYY,26,Al Sabt,السبت,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
03:47 (BST),05:21 (BST),13:06 (BST),18:17 (BST),20:42 (BST),20:44 (BST),21:58 (BST),03:37 (BST),01:02 (BST),09-May-21,1620547261,09/05/2021,DD-MM-YYYY,9,Sunday,5,May,2021,AD,Anno Domini,27-09-1442,DD-MM-YYYY,27,Al Ahad,الاحد,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,Lailat-ul-Qadr
03:45 (BST),05:20 (BST),13:06 (BST),18:18 (BST),20:44 (BST),20:45 (BST),22:00 (BST),03:35 (BST),01:02 (BST),10-May-21,1620633661,10/05/2021,DD-MM-YYYY,10,Monday,5,May,2021,AD,Anno Domini,28-09-1442,DD-MM-YYYY,28,Al Athnayn,الاثنين,9,Ramaḍān,رَمَضان,1442,AH,Anno Hegirae,517520209,-12577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0,
