timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsSunset,timingsMaghrib,timingsIsha,timingsImsak,timingsMidnight,datereadable,datetimestamp,dategregoriandate,dategregorianformat,dategregorianday,dategregorianweekdayen,dategregorianmonthnumber,dategregorianmonthen,dategregorianyear,dategregoriandesignationabbreviated,dategregoriandesignationexpanded,datehijridate,datehijriformat,datehijriday,datehijriweekdayen,datehijriweekdayar,datehijrimonthnumber,datehijrimonthen,datehijrimonthar,datehijriyear,datehijridesignationabbreviated,datehijridesignationexpanded,metalatitude,metalongitude,metatimezone,metamethodname,metamethodparamsFajr,metamethodparamsIsha,metamethodparamsMaghrib,metalatitudeAdjustmentMethod,metamidnightMode,metaschool,metaoffsetImsak,metaoffsetFajr,metaoffsetSunrise,metaoffsetDhuhr,metaoffsetAsr,metaoffsetMaghrib,metaoffsetSunset,metaoffsetIsha,metaoffsetMidnight
02:58 (BST),04:52 (BST),13:08 (BST),18:36 (BST),21:14 (BST),21:16 (BST),22:43 (BST),02:48 (BST),01:03 (BST),01-Jun-21,1622534461,01/06/2021,DD-MM-YYYY,1,Tuesday,6,June,2021,AD,Anno Domini,20-10-1442,DD-MM-YYYY,20,Al Thalaata,الثلاثاء,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:56 (BST),04:51 (BST),13:08 (BST),18:37 (BST),21:15 (BST),21:17 (BST),22:45 (BST),02:46 (BST),01:03 (BST),02-Jun-21,1622620861,02/06/2021,DD-MM-YYYY,2,Wednesday,6,June,2021,AD,Anno Domini,21-10-1442,DD-MM-YYYY,21,Al Arba'a,الاربعاء,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:55 (BST),04:51 (BST),13:08 (BST),18:37 (BST),21:16 (BST),21:18 (BST),22:46 (BST),02:45 (BST),01:03 (BST),03-Jun-21,1622707261,03/06/2021,DD-MM-YYYY,3,Thursday,6,June,2021,AD,Anno Domini,22-10-1442,DD-MM-YYYY,22,Al Khamees,الخميس,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:53 (BST),04:50 (BST),13:08 (BST),18:38 (BST),21:17 (BST),21:19 (BST),22:48 (BST),02:43 (BST),01:04 (BST),04-Jun-21,1622793661,04/06/2021,DD-MM-YYYY,4,Friday,6,June,2021,AD,Anno Domini,23-10-1442,DD-MM-YYYY,23,Al Juma'a,الجمعة,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:52 (BST),04:49 (BST),13:09 (BST),18:39 (BST),21:18 (BST),21:20 (BST),22:49 (BST),02:42 (BST),01:04 (BST),05-Jun-21,1622880061,05/06/2021,DD-MM-YYYY,5,Saturday,6,June,2021,AD,Anno Domini,24-10-1442,DD-MM-YYYY,24,Al Sabt,السبت,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:50 (BST),04:49 (BST),13:09 (BST),18:39 (BST),21:19 (BST),21:21 (BST),22:50 (BST),02:40 (BST),01:04 (BST),06-Jun-21,1622966461,06/06/2021,DD-MM-YYYY,6,Sunday,6,June,2021,AD,Anno Domini,25-10-1442,DD-MM-YYYY,25,Al Ahad,الاحد,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:49 (BST),04:48 (BST),13:09 (BST),18:40 (BST),21:20 (BST),21:21 (BST),22:52 (BST),02:39 (BST),01:04 (BST),07-Jun-21,1623052861,07/06/2021,DD-MM-YYYY,7,Monday,6,June,2021,AD,Anno Domini,26-10-1442,DD-MM-YYYY,26,Al Athnayn,الاثنين,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:48 (BST),04:48 (BST),13:09 (BST),18:40 (BST),21:21 (BST),21:22 (BST),22:53 (BST),02:38 (BST),01:04 (BST),08-Jun-21,1623139261,08/06/2021,DD-MM-YYYY,8,Tuesday,6,June,2021,AD,Anno Domini,27-10-1442,DD-MM-YYYY,27,Al Thalaata,الثلاثاء,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:47 (BST),04:47 (BST),13:09 (BST),18:41 (BST),21:22 (BST),21:23 (BST),22:54 (BST),02:37 (BST),01:04 (BST),09-Jun-21,1623225661,09/06/2021,DD-MM-YYYY,9,Wednesday,6,June,2021,AD,Anno Domini,28-10-1442,DD-MM-YYYY,28,Al Arba'a,الاربعاء,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:46 (BST),04:47 (BST),13:10 (BST),18:41 (BST),21:22 (BST),21:24 (BST),22:55 (BST),02:36 (BST),01:05 (BST),10-Jun-21,1623312061,10/06/2021,DD-MM-YYYY,10,Thursday,6,June,2021,AD,Anno Domini,29-10-1442,DD-MM-YYYY,29,Al Khamees,الخميس,10,Shawwāl,شَوّال,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
